id,title,thumbnail,content,creator_name,created_at
69,Lőtéri értesítő - március,https://utfs.io/f/26L8Sk7UnuECwcWT6w9heWP5jZyfGnp24M8Jrbm0t9vNAFka,"## 2025 márciusi értesítő 

A márciusi lőtéri értesítőről bővebben itt olvashat: Fájl feltöltve: https://utfs.io/f/26L8Sk7UnuECTLBLdaBsBd7vKsTMS9If2ZzDyiwp5quY30Gm",agota,2025-02-19T16:07:46.660Z
64,Farsang febrár 22-én a Közösségi Házban,https://utfs.io/f/26L8Sk7UnuECLskRArKbp6Sh14YX5LERKwtFsGya3UVgiH8Q,Idén is meg lesz tartva a farsangi mulatság február 22-én 17 órai kezdéssel. További részletek a Bakonykúti Facebook oldalon találhatók. ,agota,2025-02-08T09:11:38.436Z
56,Tájékoztató  települési főépítész alkalmazásáról,https://utfs.io/f/26L8Sk7UnuECXtmPDGcZENFc91oCB07LqidpvXmUWH4VeMwx,"
## Tájékoztató  települési főépítész alkalmazásáról

Értesítem a Tisztelt Lakosságot, hogy Bakonykúti Község Önkormányzata 2025. január 2.-től új települési főépítészt alkalmaz **Ertl Antal** személyében.
## 
Ertl Antal főépítész elérhetőségei:

E-mail: ertl.antal@feterv.hu

Telefon: +36 70 3850133

Személyesen: Székesfehérvár, Kassai u. 79. Irodában, előzetes egyeztetést követően
## 
Kérem, hogy az építtetésre vonatkozó jogszabályok betartása, valamint településünk
arculatának megőrzése érdekében, az építési tevékenységek megkezdése előtt vegyék igénybe
a települési főépítész szakmai konzultációját, amely a lakosság számára térítés mentes.
## 
Bakonykúti, 2025. január 10.
## 

Marics József

polgármester",agota,2025-01-18T15:58:52.410Z
57,Lőtéri értesítő,https://utfs.io/f/26L8Sk7UnuECwcWT6w9heWP5jZyfGnp24M8Jrbm0t9vNAFka,"## 2025 januári értesítő

Az MH Böszörményi Géza Csapatgyakorlótér Parancsnoksága a 2025 januári értesítőjét [ITT](http://www.bakonykuti.hu/loter/Loter202501.pdf) olvashatja. ",agota,2025-01-18T16:14:15.855Z
63,Lőtéri értesítő - február,https://utfs.io/f/26L8Sk7UnuECwcWT6w9heWP5jZyfGnp24M8Jrbm0t9vNAFka,"## 2025 februári értesítő

Az MH Böszörményi Géza Csapatgyakorlótér Parancsnoksága a 2025 januári értesítőjét [ITT](http://www.bakonykuti.hu/loter/Loter202502.pdf) olvashatja. ",agota,2025-01-23T08:13:53.004Z
65,Álláshirdetés,https://utfs.io/f/26L8Sk7UnuECB6mwoILtiGAb1WuzdjMZ6rO9S2U8Ll3D75pI,"## A BM Katasztrófavédelmi Főigazgatóság a következő állásra keres jelentkezőket: 

https://utfs.io/f/26L8Sk7UnuECwclnBlSheWP5jZyfGnp24M8Jrbm0t9vNAFka",agota,2025-02-18T15:02:54.369Z
62,Vándortábor felhívás,https://utfs.io/f/26L8Sk7UnuECCZEIrDoD3h5BTWPtNcop4XHGVmvlbLQxAy71,"## Vándortáborok 

*Fedezz fel! Vezess! Inspirálj!*
## 
Nyáron kilencedik alkalommal indulnak útnak az egyhetes vándortáborok, melyekre január 30-tól lehet jelentkezni.
## 
Ennek érdekében szeretnénk felhívni a figyelmét egy kiváló ár-érték arányú táborozási lehetőségre, a Vándortábor Programra, melyekhez kedvező feltételeket kínálunk:
## 
A részvételi díj az utazási költséget kivéve mindent tartalmaz. A táborozók 49 000 forintért kapnak szállást, étkezést és programokat a 7 napos turnusokon.
## 
A csoportvezető pedagógusok a vándortáboros csoportvezetésért bruttó 150 000 forint díjazásban részesülnek. 
## 
A hátrányos helyzetû és a halmozottan hátrányos helyzetű gyerekek 50%-os kedvezménnyel vehetnek részt a táborokban, nekik a részvételi díj 24 500 forint.
## 
A pedagógusok és a kísérők 20 000 forintért végezhetik el a 30 órás akkreditált gyalogos, vízi vagy kerékpáros vándortábor-vezető képzést.
## 
A jelentkezés január 30. (csütörtök) 20:00-kor indul, a felhívás a szervezetek honlapjain érhetõ el:
## 
**[ErdeiVándor](https://www.erdeivandor.hu/jelentkezesi-felhivas/), [BringásVándor](https://www.bringasvandor.hu/bringasvandor/#jelentkezesi-felhivas), [VíziVándor](https://vizivandor.hu/palyazati-kiiras/), [Zarándoktábor](https://zarandoktabor.hu/jelentkezesi-felhivas)**
## 
Bõvebb információért látogasson el a honlapra: https://vandortabor.hu/

Vándotábor bemutató  [ITT](http://www.bakonykuti.hu/Hirdet/Vandortabor2025.pdf)",agota,2025-01-23T08:08:55.906Z
68,MEGHÍVÓ - nyilvános testületi ülés,https://utfs.io/f/26L8Sk7UnuECnHDiRUypuwvx56J1US2AQWgyPYTDO7XGiend,"## MEGHÍVÓ - nyilvános testületi ülés

Bakonykúti Községi Önkormányzat Képviselő-testülete
2025. február 27-én (csütörtökön) 17.00 órakor 
rendes, nyilvános testületi ülést tart.

A napirendi pontokról bővebben itt olvashat: 
https://utfs.io/f/26L8Sk7UnuECfTzii6Hu3aru6LDUb0V8oGMOFt5cR72B1Qkq",agota,2025-02-18T15:11:06.515Z
70,A földönkívüli élet lehetősége a Naprendszerben és azon túl,https://utfs.io/f/26L8Sk7UnuECcHNLIyMGlVyP5pWMY6DoSU8zQmEbCBJ0Nt2O,"Talabér Gergely amatőrcsillagász előadása a BAKONYKÚTI KÖZÖSSÉGI HÁZBAN

## 
További információ: https://utfs.io/f/26L8Sk7UnuECCJaSKDoD3h5BTWPtNcop4XHGVmvlbLQxAy71

Mindenkit szeretettel várunk!",agota,2025-03-06T09:01:42.887Z
73,Könyvjelző - a bakonykúti könyvklub,https://utfs.io/f/26L8Sk7UnuECjy8y1adVTPH1f4QNIYeZOKG0nqzEAJr6FLgy,"Ahogyan minden hónapban, márciusban is szeretettel várnak a könyvbarátok minden érdeklődőt a bakonykúti könyvklubon, a Könyvjelzőn!",agota,2025-03-06T09:41:51.723Z
